PREFIX,ITEM,DESCRIPTION,WEIGHT
07,#9WIRE,#9 WIRE,51.37
SW10,0010-01-07,BRACE DIAG 27 3/4 X 7' PRE GLV,10
2050,2488,HALF COUPLER 48/M20X30 W.A.F. 22 (HUNNEBECK),1.15
3001,002488US,"1/2 CPLR W/ 1/2""X2"" HEX BOLT (CS240)",1.98
SW69,0054-130,RP DECK ALRL PLY BJ HOOK ASSY,0
2170,6205,REPAIR DOWEL PIN F/ LEDGER 6.35MM DIA X 19.5MM L,0.01
2171,6215,REPAIR END PLATE F/ INNER LEG,4
2171,6216,REPAIR ADJ. NUT F/ INNER LEG,2
2171,6217,GASS QUICKSTRIKE COLLAR,12.13
2171,6220,REPAIR END PLATE F/ OUTER / EXT. LEG,4.5
07,6231,GASS FRAME RIVETS,0.22
2171,6235,CAST BARREL BODY - TOP,4.23
2171,6236,CAST BARREL BODY - BOTTOM,4.23
07,6292,BARREL BOLT - FORGED,0.33
07,6321,GASS FRAME RIVETS,0.22
2170,6326,REPAIR WEDGE F/ LEDGER,0.33
2171,6350,REPAIR BOWTIE LATCH F/ OUTER LEG,0.14
2171,6351,REPAIR BOWTIE SPRING F/ OUTER LEG,0.01
2171,6353,REPAIR BOWTIE PIVOT PLT. F/ OUTER LEG,0.1
2171,6355,REPAIR RING F/ OUTER LEG,0.33
SW64,008811-2,ENDGATE ASSEMBLY;MOD PLATFORM,12
SW64,008812-1,CORNER ADAPTER;MODULAR PLTFRM,118
SW64,008827-001,SW LOCKING BAR W/ STITTUP,15
SW64,008828-001,SW MAST W/ STIRRUP,80
SW64,008829-001,SW BOOM W/ STIRRUP,45
SW64,008831-1,TUBE;CABLE GUIDE,1
SW64,008899-1,FRAME;LEFT;CORNER ADAPTER,36
SW64,008900-1,FRAME;CENTER;CORNER ADAPTER,17
SW64,008901-1,FRAME;RIGHT;CORNER ADAPTER,39.5
SW64,008902-1,CAP;CORNER ADAPTER;MOD PLTFRM,1
SW64,008903-1,POST;CENTER RAIL,16
1043,10,REPAIR HOOK & WINGNUT F/ 010 BRACES,0.42
4999,010B,PLAN BRACE W HOOKS 5'X6',17.5
1043,010C,PLAN BRACE W/ HOOKS 5' X 7',18.5
1043,010D,PLAN BRACE W/ HOOKS 5' X 10',31
267,111070,"WALER DU-120/0,7",9.1
267,111100,WALER DU-120/1                ,58.3
267,111150,WALER DU-120/1.5,87.12
267,111350,"WALER DU-120/3,5              ",204.6
4999,011COP,CASTER F/202H POLY 1K CAP,16
1043,011CORH,"CASTER 8""D (RUBBER)",12.5
260,121000,"HANDRAIL POST D50/1,5         ",15.84
261,121003,WALKWAY BRACKET (2-M18 X 200+P),27.28
267,121004,HANDRAIL SOCKET D50,6.38
267,0121004NA,HANDRAIL SOCKET D50,6.38
260,122002,TUBE 40X40X3 L=400 (D18)      ,3.06
260,122424,"COMPENSATION PLATE H=4,2X0,5  ",165
260,1230100,DO NOT USE - TIE ROD 15/1,3.08
07,125231,BOWTIE (BUDGIE)  LATCH RETAINING PLATE RIVETS,0.02
1043,012CL4,"CLIMBING LADDER 4'0""",11.5
1043,012CL7,"CLIMBING LADDER 7'0""",19
1043,012CLB,CLIMBING LADDER BRACKET,9
07,012SWW,"SCAFFOLD WRENCH 7/8""",6.75
1043,014A,TRUSS 8',31.5
1043,014B,TRUSS 12',47.5
1043,014B2,"TRUSS 12'X24"" HD W/ SPROCKET",95
1043,014C,TRUSS 22',105
1043,014E,TRUSS 16',75
1043,014N,TRUSS 10',40
1043,014P,TRUSS 10' (NEW ORLEANS),90
1043,014Q,TRUSS 12' (NEW ORLEANS),97
1043,016B,TRUSS HANGER SWIVEL,5
1043,016C,TRUSS HANGER SWIVEL DEEP,8
4999,017C,"FRAME LADDER 6'6HX22""W",33
1043,019F,"HOOK PLANK-PLYWOOD 19-3/8""X7'",28
1043,019FA,"HOOK PLANK-ALUM. 19-3/8""X7'",24
1043,019H,"HOOK PLANK-PLYWOOD 19-3/8""X10'",40
1043,019HA,"HOOK PLANK-ALUM. 19-3/8""X10'",33
1043,019M,"HOOK PLANK-PLYWOOD 19""X7' (ALLRIGHT)",28
1043,019P,"HOOK PLANK-PLYWOOD 19""X10' (ALLRIGHT)",40
1043,01A,"BASE PLATE - PLAIN 6""X6""",3.5
1043,01C,SADDLE BASE OFFSET SHALLOW,5
1043,01D,SADDLE BASE OFFSET DEEP,6.75
1043,01E,"BASE PLATE - SWIVEL 6""X6""",3
1043,01H,"ADJ. BASE JACK 16""",12
1043,01HX24,"ADJ. BASE JACK 24""",11
0199,01J,"(R) U-HEAD 4-1/4"" X 14""",7
1043,01JX2W,"U-HEAD 8"" X 7-3/4"" 2-WAY",6.5
1043,01M,"TOP PLATE 5-7/16"" X 2-3/4"" CAPACITY",6
258,200600,STEEL TUBE 48/6,44
4999,020A,"FRAME LADDER 3'HX34 3/8""W",18.5
4999,020B,"FRAME LADDER 3'HX34 3/8""W",32
1043,020C,"FRAME LADDER 6'6""HX34 3/8""W",40
4999,020K,"FRAME-ARCH 6'6""HX34 3/8""W",39.75
4999,020KH,"FRAME PLASTER 6'6HX34 3/8""W",39.8
4999,020KW,"FRAME ARCH 6'6""HX34 W/8""W W G/R STUDS",40
267,212100,"PUSH PULL 1"" 0,36-0,52 (D20)",5.28
07,212125,"TENSOR 1,5"" 0,44-0,66(D20)",13.64
263,230000,WING NUT 15,0.33
263,230001,HEXAGONAL NUT DW15 30X50,0.48
07,230003,HEX COUPLER DW15 30X104,0.97
263,230004,WATER STOP DW15               ,1.32
07,230005,FIX ANCHOR DW15               ,1.23
263,230010,DW15/DW15 ANCHORING CONE,1.91
263,230050,TIE ROD 15/.5,1.58
263,230100,TIE ROD 15/1,3.08
267,230111,"TIE ROD 15/0,11",0.35
260,230116,"TIE ROD 15/0,16",0.5
263,230120,"TIE ROD 15/1,2",4.4
260,230150,TIE ROD 15/1.5,5.5
263,230200,TIE ROD 15/2,9
263,230250,TIE ROD 15/2.5,7.24
263,230300,TIE ROD 15/3,4.3
263,230350,"TIE ROD 15/3,5",11
260,230400,TIE ROD 15/4,12.67
263,230500,TIE ROD 15/5,7.2
263,230600,TIE ROD 15/6,19
263,231600,DW26/6M TIE ROD,22
267,234016,"TIE ROD 20/0,16",0.88
267,234020,TIE ROD 20/0.2,1.21
263,234025,TIE ROD DW 20/.25,1.43
258,234033,TIE ROD 20/0.33,1.9
267,234041,"TIE ROD 20/0,41",5.28
263,234050,TIE ROD 20/0.5,2.86
263,234100,TIE ROD 20/1,5.64
263,234120,"TIE ROD 20/1,2                ",6.75
263,234150,TIE ROD 20/1.5,10.25
263,234200,TIE ROD 20/2,11.22
263,234600,TIE ROD 20/6                  ,33.79
07,238025,FIXED ANCHOR DW20,2.15
07,238036,"ANCHOR DW 26,5",3.09
267,238043,CLIMBING RING NT20,3.57
260,238044,ANCHORAGE CONE DW20/DW20      ,2.09
260,238045,CONE POSITIONER M30,0.7
267,238050,CONE DW20/M30,4.4
258,238060,CONE DW26/M36,3.1
257,238065,CONE POSITIONER M36,1
260,239015,DSI HEX COUPLER DW20,10
07,240600,NUT M6 DIN-934-5.6        ,0.02
263,240608,DO NOT USE - NUT M16 DIN-985-8.8,0.06
07,241000,NUT M10 DIN 934-5.6,0.02
07,241001,ARANDELA A10 DIN-125,0.02
263,241050,HEXAGONAL SCREW M10X50 DIN .933,0.09
260,241051,BOLT M10X50 DIN 933-8.8,0.09
07,241090,BOLT M10X90 DIN-931-5.6,0.15
07,241200,NUT M12 DIN-934-5.6,0.04
07,241201,WASHER A12 DIN-125,0.02
07,241204,NUT M12 DIN-934-8.8,0.02
07,241230,BOLT M12X30 DIN-933-8.8,0.04
263,241240,BOLT M12X40 DIN-933-5.6,0.05
07,241250,BOLT M12X50 DIN-933-5.6,0.13
263,241400,NUT M14 DIN-934-8.8,0.07
263,241440,BOLT M14X40 DIN-933-8.8,0.15
07,241600,NUT M16 DIN-934-8.8        ,0.07
07,241601,WASHER A16 DIN-125,0.02
07,241608,NUT M16 DIN-985-8.8,0.07
07,241610,BOLT M16X100 DIN-931-8.8  ,0.42
263,241612,BOLT M16X120 DIN-931-8.8,0.47
263,241614,BOLT M16X140 DIN-931-8.8,0.54
07,241616,BOLT M16X160 DIN-931-8.8  ,0.62
263,241618,BOLT M16X180 DIN-931-8.8,0.68
263,241640,BOLT M16X40 DIN-933-8.8,0.19
07,241650,BOLT M16X50 DIN-933-8.8   ,0.24
263,241660,BOLT M16X60 DIN-933-8.8,0.27
260,241670,BOLT M16X70 DIN-933-8.8   ,0.31
263,241680,BOLT M16X80 DIN-933-8.8,0.35
07,241690,BOLT M16X90 DIN-931-8.8  ,0.38
07,241800,NUT M18 DIN-934-8.8,0.11
07,241801,WASHER A18 DIN-125,0.04
07,241810,BOLT M18X100 DIN-931-8.8  ,0.53
07,241812,BOLT M18X120 DIN-931-8.8      ,0.62
260,241813,BOLT M18X130 DIN-931-8.8      ,0.65
07,241814,BOLT M18X140 DIN-931-8.8,0.7
07,241880,BOLT M18X80 DIN-931-8.8,0.44
07,242000,NUT M20 DIN-934-8.8           ,0.13
07,242001,WASHER A20 DIN-125            ,0.04
07,242008,NUT M20 DIN-985-8.8,0.15
07,242010,BOLT M20X100 DIN-931-8.8,0.66
07,242012,BOLT M20X120 DIN-931-8.8,0.77
07,242013,BOLT M20X130 DIN-931-8.8      ,0.81
260,242016,BOLT M20X160 DIN-931-8.8,0.99
07,242018,BOLT M20X180 DIN-931-8.8      ,1.09
07,242050,BOLT M20X50 DIN-933-8.8,0.18
07,242060,BOLT M20X60 DIN-933-8.8       ,0.46
07,242070,BOLT M20X70 DIN-933-88,0.23
07,242080,BOLT M20X80 DIN-931-8.8       ,0.57
07,242090,BOLT M20X90 DIN-931-8.8,0.61
07,242400,HEX NUT M24 DIN-934-8.8       ,0.24
07,242401,WASHER A25 DIN-125,0.07
260,242402,LOCK WASHER 24                ,0.29
07,242460,BOLT M24X60 DIN-933-8.8,0.66
260,242480,BOLT M24X80 DIN-931-8.8,0.84
07,243000,NUT M30 DIN-935-8.8,0.49
07,243001,WASHER A30 DIN-125,0.11
260,243010,BOLT M30X100 DIN-933-8.8,1.61
07,243013,BOLT M30X130 DIN-931-10.9 (PAV),2.02
260,243016,BOLT M30X160 DIN-931-8.8,2.4
260,243018,BOLT M30X180 DIN-931-8.8,2.64
260,243026,BOLT M30X120 DIN-931-8.8,1.98
260,243060,BOLT M30X60 DIN-933-8.8,1.19
260,243080,BOLT M30X80 DIN-931-8.8,1.52
260,243600,NUT M36 DIN-934-8.8,0.86
260,243601,WASHER A36 DIN-125,0.22
260,243614,BOLT M36X140 DIN-933-8.8,3.08
07,02488USX1,REPAIR HARDWARE SET F/02488US,1.1
260,249031,"TORNILLO M16X220 DIN-931 8,8",0.81
260,249034,"BOLT M30X250 DIN931-8,8",3.48
260,249035,BOLT M20X90 DIN-931-10.9,0.61
07,249036,"BOLT M6X40 DIN-963-5,6  ",0.02
257,249037,BOLT M30X160 DIN-931-10.9,1.17
07,249911,SCREW 6X60 DIN 7505-A,0.01
07,250000,COTTER PIN R/5,0.07
07,251814,PIN D18 X 140,0.66
07,0251814NA,PIN D18 X 140,0.66
263,252000,PIN D20X70,0.14
267,252070,PIN E20X70,0.64
267,0252070NA,PIN E20X70,0.64
07,252416,PIN C 24X150-6.8              ,1.23
07,0252416NA,PIN C 24X150-6.8              ,1.23
260,253212,R/B PIPE BRACE PIN D32X120    ,1.98
07,253215,PIN D32X150                   ,2.31
1043,025GXC,FRAME-LADDER 3'H X 3'W (GALV),20
1043,025JHXC,FRAME-PLASTER 5'H X 3'W (GALV),33
1043,025KHXC,"FRAME-PLASTER 6'6""H X 3'W (GALV)",41
258,260000,CLAMP M20X330(2P-100X100),7
07,260001,CLAMP M20X330 (2P-150X150)    ,13.46
07,260003,JAW UNION 20/M20,1.3
07,260006,JOINT CLAMP 16/70,4
267,260505,SIMPLE BRACING                ,7.48
07,261004,CLAMP 150X150X15 (D30),5.94
255,27289,MULTIPROP MP250 (1.45-2.50M),33.07
255,27290,MULTIPROP MP350 (1.95-3.50M),41.45
255,27291,MULTIPROP MP480 (2.60-4.80M),52.47
255,27305,MULTIPROP MP625 (4.30-6.25M),74.07
1043,02A,"FIXED EXT. LEG 18""",5.25
1043,02B,"FIXED EXT. LEG 12""",3.5
1043,02E,"ADJ. SOCKET JACK 20""",12.5
0408,300,PLASTIC TRASH CHUTE,
0408,301,HOPPER,0.1
267,302020,R/B BOTTOM SUPPORT JACK TR53X6,23.76
267,302022,R/B BOTTOM SUPPORT BRAC TR53X6,26.84
260,306001,GP BOX-OUT                    ,3.3
267,306002,GP RETRIEVABLE BOX-OUT        ,13.64
267,0306002NA,GP RETRIEVABLE BOX-OUT        ,13.64
260,306003,CHAIN 2G LT/842 (2 TN),5.17
260,306005,PLATE (250X250X4)             ,4.4
260,306020,FOLDING BRACKET M24           ,29.92
260,306027,SCREW JACK TR35X5/ORMA,21.56
07,306031,EDGE BEARING BRACKET,13.9
267,306032,GRAVITY PAWL BRACKET,48.84
267,0306032NA,GRAVITY PAWL BRACKET,48.84
263,306045,BRIO-WALER DU CONNECTOR,4.18
267,306054,SHORT GRAVITY PAWL            ,33.22
267,306059,ADJUSTABLE SLAB BRACKET,64.46
07,306060,SLAB BRACKET HWS/MIK120 SPLICE,29.5
267,306072,ADJUSTABLE BRACKET            ,19.14
1043,030D,GOOSER 8',17
0408,310,SUPPORT FRAME,
0408,311,PARAPET OUTRIGGER,
0408,314,FLAT ROOF OUTRIGGER,
060,315,HORIZONTAL SPANDREL,79
2170,31577,REPAIR RIVET,
060,318,TRUSS DROP HINGED CHORD 5FT,1
0408,319,LARGE WINCH,
0408,320,COUNTERWEIGHTS,
0408,321,MANUAL WINCH,
0408,322,HOPPER RETAINER BAR,1.5
0408,330,DUST GAITER,
267,331000,CLIMBING BRACKET CR-250 ROLL-B,441.44
267,331009,PIPE BRACE WALER HEAD         ,14.74
267,331010,WALER LIFTING HOOK            ,13.42
258,331013,CRANK SPINDLE TR53,2.6
261,331020,CR250 BRACKET W/O ROLLBACK,157
260,331030,HANDLE CR                     ,1.85
267,333002,R/B WALKWAY BRACKET           ,32.38
267,333003,HANGING PLATFORM WALER 4,99.88
266,333004,WALER FIXING HOOK             ,5.06
267,333005,ENKOFORM ADJUSTMENT JACK      ,13.42
260,333006,ORMA ADJUSTMENT JACK          ,12.98
267,333007,HANGING PLATFORM WALER 2,24.2
267,333008,LADDER C2.1,31.02
267,333009,LADDER C3,42.68
267,333010,LADDER FIXER,3.52
267,333011,LADDER HANGER,3.52
267,333012,LADDER PROTECTION,28.82
267,333013,LADDER HATCH                  ,24.86
267,333014,PIPE BRACE TR63X6 2.04-2.72   ,102.48
267,333016,WIND SLING FIXER M30,5.28
267,333018,WIND SLING 12 (5T),6.23
267,335126,REDUCING SETBACK,5.7
267,335130,SELF CLIMBING BRACKET SHOE NV,134.2
267,335148,CONTROL PLAT. INT. HANDRAIL,54.12
260,335153,PIN W/HEAD D20X100            ,0.64
261,335166,CRANK SETBACK ATR,0.74
267,335169,EXTERNAL HANDRAIL SUPPORT,13.2
267,335176,"CONTROL PLAT. EXT. HANDRAIL T3,8 CE",94.6
267,335182,SELF-CLIMBING NARROW BRACKET,448.8
267,335190,LOWER LEVEL PLATFORM BASE,62.04
267,335202,LADDER ACCESS BRACKET,20.3
267,0335202NA,LADDER ACCESS BRACKET,20.3
260,335226,PIN C/CAB D32X135,2.13
257,335240,ATR-B BRACKET MK,380
267,335245,ATR-B BRACKET BODY MK,579.8
267,335250,ATR-N NARROW BRACKET MK,453.2
260,335255,PLATFORM SUPPORT 3MK,58.5
267,335260,HANDRAIL SUPPORT MK,21.56
257,335275,CONTROL MK HANDRAIL,73
260,335280,CONTROL MK HANDRAIL T3.8,242.5
257,335285,CONE MK HANDRAIL,83
257,336000,TELESCOPIC HEAD ATR-P,218
258,336023,DOUBLE WHEEL ATR-P,79
258,336029,DOUBLE WHEEL SUPPORT ATR-P,21
267,336039,SINGLE SHOE ATR-P,29.2
267,336049,LONG CONNECTION TUBE ATR,35.2
267,336050,SHORT CONNECTION TUBE ATR,22.88
267,336051,SPACE TUBE ATR,7.04
267,336052,VM20 CLAMP ATR,2.2
267,336054,INSIDE PIPE BRACE CONECTOR ATR,7.04
267,336055,PROFILE PIPE BRACE CONECTOR ATR,6.6
267,0336055NA,PROFILE PIPE BRACE CONECTOR ATR,6.6
258,336059,FIXING TIE ROD DWG 15 ATR,9.03
267,336062,STOP END ATR,7.7
267,336065,TROLLEY HOIST ATR 2TN,69.08
267,336067,HOIST ATR 2TN,49.06
257,336076,DIAGONAL HEAD ATR-P,36.9
257,336077,HEAD DIAGONAL T3-8 ATR-P,6
257,336081,HEAD DIAGONAL SUPPORT ATR-P,28.4
261,336084,SINGLE WHEEL ATR-P,63.5
261,0336084NA,SINGLE WHEEL ATR-P,63.5
257,336091,BEAM DIAGONAL ATR-P,46.4
257,336094,ROLL BACK SUPPORT 2 ATR-P,11.8
257,336202,"BEAM DU-240/0,25M ATR-P",52
257,336204,BEAM DU-240/.500 ATR-P,149.91
257,336210,"BEAM DU-240/1,25M ATR-P",52
257,336218,BEAM DU-240/2.25 ATR-P,454.12
257,336222,"BEAM DU-240/2,75M ATR-P",524.7
257,336226,"BEAM DU-240/3,25M ATR-P",280
260,338000,CLIMBING HEADREST SUP,69.52
260,338001,CLIMBING HEADREST INF,63.36
267,338002,UPPER CLIMBING HEAD NV,66.66
267,338071,LOWER CLIMBING HEAD NV,61.38
257,338100,CYLINDER ATR 100 KN/660,45
267,338101,6P MASTER HYDRAULIC POWER UNIT,1540
267,338102,4P SLAVE HYDRAULIC POWER UNIT,1104.4
267,338103,MASTER/SLAVE JOINT CABLE 15M,3.74
258,338106,MALE HOSE COUPLER,0.77
258,338107,FEMALE HOSE COUPLER,0.44
267,338109,EMERGENCY STOPPER 7-10-10 ATR,0.66
260,338112,PENDANT 6P ATR,3.3
267,338114,AUTO HYDRAULIC POWER UNIT 4P,1106.7
267,338116,6P AUTO HYDRAULIC POWER UNIT,1540
257,338120,MALE HOSE 5M,1
257,338121,FEMALE HOSE 5M,1.1
267,338122,MALE HOSE 10M,8.36
267,338123,FEMALE HOSE 10M,8.36
267,338124,MALE HOSE 17M,12.98
267,338125,FEMALE HOSE 17M,12.98
257,338136,POWER UNIT ATR 6P BASIC,380
267,338150,CYLINDER ATR 100 KN SIGNAL,94.82
260,338205,MAST SHOE,13.13
267,338229,MAST SAFETY PIN,9.68
267,0338229NA,MAST SAFETY PIN,9.68
267,338239,MAST SHOE UNIVERSAL,9.46
260,338261,"MAST 6,1",961.4
267,338263,"MAST 6,3",61.38
267,338267,"MAST 6,7",954.8
257,338273,MAST 7.3,473
267,339000,BRACKET PIN ATR,8.14
258,339002,ANCHOR BRACKET NC,21
260,339005,BRACKET SAFETY PIN ATR,2.2
260,0339005NA,BRACKET SAFETY PIN ATR,2.2
267,339024,DOUBLE CONE NC WALL ANCHOR,39.6
267,339026,DOUBLE CONE NC POSITIONER,3.74
267,339030,DOUBLE CONE ANCHOR BRACKET,52.16
07,339040,ANCHOR BRACKET,12.4
263,339044,DOUBLE CONE 50MM COMPENSATION,20.02
258,339050,WALL TIE,18.13
263,339078,BOLT M30X130 DIN-912-10.9,2.13
267,339080,BOLT M30X80 DIN-912-10.9  ,1.65
1043,03CC,"FRAME-SHALLOW TRUSS 6'6""H X 5'W",49.75
1043,03CM,"FRAME-ARCH 6'6""H X 5'W",51
1043,03K,FRAME-MASON 3H' X 5'W,33
0199,03LX1,"(R) FRAME-MASON 4'7""H X 5'W (USES 04AA)",44
1043,03M,FRAME-MASON 5'H X 5'W,48.5
1043,03P,"FRAME-MASON 6'6""H X 5'W",63
4999,03R,FRAME MASON 4'H X 5'W,44
1043,03RX1,"FRAME MASON 4'1""H X 5'W USES 04AA",42.5
1043,03S,"FRAME-CANOPY 7'6""H X 6'W",56
SW16,03XA151B0012,SIDE BRACKET W/ HALF CLAMP,0
07,406,"2"" X 4"" X 6' BOARD",
07,408,"2"" X 4"" X 8' BOARD",
07,416,"2"" X 4"" X 16' BOARD",
1043,04A,"SPROCKET W/ 1"" COLLAR",1.25
1043,04E,CONNECTING PIN-HINGED SP,0.1
1043,04EXS,CONNECTING PIN-HINGED ST,0.04
1043,04F,CONNECTING PIN-PLAIN SP,0.08
1043,04FXS,CONNECTING PIN-PLAIN STD,0.03
SW94,0522E,5' ALUMINUM END BRACKET PLANK,21
SW94,0522S,5' ALUMINUM STAIR PLANK,20
1043,05A,GUARDRAIL 7',10.6
1043,05B,GUARDRAIL 6',9.1
1043,05C,GUARDRAIL 5',7.6
1043,05CXE,END MIDRAIL 5',7.5
1043,05CXS,GUARDRAIL 5' SPECIAL (W/ DROPLOCK),7.75
1043,05D,GUARDRAIL 4',6
1043,05DX3,GUARDRAIL 3',4.5
1043,05E,GUARDRAIL 10',9.5
1043,05GS,SWING GATE - INTERMEDIATE 5',28
1043,05GT,SWING GATE - TOP LEVEL 5',50
1043,05K,GUARDRAIL 8',12
1043,05S,STEP UNIT OUTSIDE RAIL,41
1043,05T,STEP UNIT INSIDE RAIL,24
1043,05W,END GUARD PNL FOR 03CC (NO G/R HOOKS),19
1043,05WZ,END GUARD PNL FOR 03CC (W/ G/R HOOKS),20
260,661505,BUSHING D40 D20 L47           ,0.77
1043,06A,"CROSS BRACE 17-5/8""X7' (3X7)-BROWN",14.75
1043,06AD,"CROSS BRACE 17-5/8""X45""X7' (3&5X7)",6.7
1043,06B,"CROSS BRACE 17-5/8""X6' (3X6)-ORANGE",12.75
1043,06C,"CROSS BRACE 17-5/8""X5' (3X5)-YELLOW",10.25
1043,06D,"CROSS BRACE 45""X7' (5X7)-SILVER",16.25
1043,06E,"CROSS BRACE 45""X6' (5X6)-BLUE",14.5
1043,06F,"CROSS BRACE 45""X5' (5X5)-RED",13
1043,06G,"CROSS BRACE 45""X10' (5X10)-SILVER",19.5
1043,06H,"CROSS BRACE 17-5/8""X10' (3X10)-RED",18
1043,06K,"CROSS BRACE 45""X8' (5X8)-BROWN/PINK",18
1043,06L,"CROSS BRACE 45""X4' (5X4)-PURPLE",11
1043,06M,"CROSS BRACE 45""X3' (5X3)-SILVER",10.5
1043,06N,"CROSS BRACE 45""X2' (5X2)-RED/YELLOW",9
1043,06Q,"CROSS BRACE 17-5/8""X8' (3X8)-BLACK/ORANGE",16.75
1043,06R,"CROSS BRACE 17-5/8""X4' (3X4)-BLACK",8
1043,06S,"CROSS BRACE 17-5/8""X3' (3X3)-GREEN/RED",7
1043,06T,"CROSS BRACE 17-5/8""X2' (3X2)-SILVER",5
1043,06W,"BAR STRAP 12""",1.5
0202,071AL7,"7' X 10"" ALUM. BOARD W/HOOKS",21
07,07B,"(1043) REPAIR WING NUT - 1/2""",0.08
SW68,07X7112A0001,99 RP NAME PLATE FOR LE500SW,0.01
SW16,8141,TOP RISER,17
SW16,8142,BOTTOM RISER,12
05,87201,DUPONT SWING GATE SYSTEM,15
1043,08AA,"GUARD POST - 39"" FEMALE W/ WINGNUTS",6
1043,08AAC,"GUARD POST - 42"" FEMALE",6.5
1043,08AAT,"GUARD POST - 39"" FEMALE W/ TOGGLES",6
1043,08N,STEP UNIT BOTTOM SUPPORT,12
1043,08P,"STEP UNIT 6'6"" RISE X 7' RUN",76
1043,08Q,"STUD CLAMP 1 5/8"" TUBING",2
1043,08X,COUPLER SPROCKET,2
1043,08Z,G/R ATTACH. FOR 03CC,3
1043,08ZP,G/R ATTACH. FOR 020K (CAL),3
263,912371,CLAMP M20X500 2P/150X150,14.37
260,915886,SHAFT TC M30X350,5.52
257,915989,TIE ROD 20/0.18,0.46
267,916578,ROLLING BEAM S-20 L=6M,261.8
261,919125,HATCH HINGE,0.66
261,919126,HATCH HANDLE,0.44
267,919259,FLANGE PLATE,1.7
260,924380,THREADED ROD M24X350-10.9,2.31
267,926224,LOWER SUPPORT BRACKET,154.22
261,926571,KNOT C,12.4
267,926577,KNOT I,40.9
267,926578,KNOT J,33.6
267,926616,CONNECTION TUBE MC 120-240,37.95
267,928118,BEAM MECC-240 3300,239.8
260,928119,ADJUSTABLE SUPPORTING BRACKET MK,704
267,928120,DIAGONAL 1 120X120X3 3380,91.74
267,928121,DIAGONAL 2 120X120X3 3330,82.28
267,928122,DIAGONAL 3 120X120X3 2025,49.94
267,928123,DIAGONAL 4 120X120X3 2305,56.98
267,928124,DIAGONAL 5 120X120X3 1880,46.42
267,928125,DIAGONAL 6 120X120X3 2000,49.5
267,928126,DIAGONAL 7 120X120X3 1860,45.98
267,928127,DIAGONAL 8 120X120X3 3120,77
267,928128,DIAGONAL 9 120X120X3 2780,68.64
260,928129,"COMP. PLATE H=3,55X0,2 DW15",65.78
260,928130,"COMP. CORNER PLATE H=3,45 DW15-IZQ",116.6
260,928131,"COMP. CORNER PLATE H=3,45 DW15-DCHA",116.6
260,928132,"COMP. PLATE H=0,5 90º",18.92
260,928133,"TIMBER BEAM VM20/0,60 3D17",6.16
260,940144,TROLLEY HOIST SERIES - 500,26.46
260,940145,HOIST SERIES - 622,22.05
260,940223,SPECIAL CONNECTION PLATE,22.22
267,940483,DIAGONAL 120X120X3 8875,23.6
258,940655,CLAMP M20 150X150 L=400,6.4
258,940755,"PROFILE MK-180/6,625",303.6
258,940821,PROFILE MK-120/2,54.56
258,940822,"PROFILE MK-120/2,875",78.32
258,940823,PROFILE MK-120/4,110
267,940824,"PROFILE MK-120/5,25",143
267,940825,"PROFILE MK-120/6,5",178.2
260,940826,DIAGONAL 3 RKS,137.28
267,940827,MAIN SUPPORT RKS,47.3
260,940828,ADDITIONAL PROFILE RKS,33
1043,09AA,"SIDE BRACKET 20"" W/ COUPLER",10
4999,09B,"END BRACKET 20""",10
1043,09C,"END BRACKET 30"" (TUBULAR)",16.5
1043,09D,SIDE BRACKET G/R ATTACH. W/ BOLTS,3
1043,09G,"SIDE BRACKET 30"" TOP HOOK",21.5
1043,09H,"SIDE BRACKET 30"" MID HOOK",23.5
1043,09J,"SIDE BRACKET 20"" MID HOOK",9
4999,09JX24,"SIDE BRACKET 24"" MID HOOK",10.5
1043,09K,"SIDE BRACKET 20"" DBL HOOK",10
4999,09P,"SIDE BRACKET 22"" W/G/R STEM",11
SW64,1-190,WHEEL;BOSUN CHAIR,1
SW64,1-218,KNOB;EMERGENCY DOWN BRAKE,1
011,100,BEAM ANTHES 7FT,26
05,1000,FRAME SCAFD. STD 5WX3H W/PINS,27
470,10000,PLATFORM,0.01
SW71,1000000,"CASTER 8"" FRAME",13.75
SW71,1000002,BASE PLATE FIXED-MALE,3.5
SW71,1000003,BASE PLATE SWIVEL,3.5
SW71,1000004,BASE JACK ADJUSTABLE - FRAME,23
07,100002,"TOE BOARD 1""X6"" WOOD",1
470,10001,SUSPENDED,0.01
470,10002,CANTILEVER,0.01
470,10003,BRIDGING SPAN,0.01
07,100037,BRACE CLAMP EXTENSION LEG,3.14
07,100038,MUD SILL 3',7.2
470,10004,RAMP,0.01
07,100040,PLYWOOD 3/4IN HDO,2.6
07,100045,PLYWOOD 2'X8'X3/4                    RPR,41.6
07,100046,PLYWOOD 2FT X 4FT X 3/4IN,20.8
07,100047,PLYWOOD 2FT X 8FT X 1/2IN            RPR,17.6
07,100048,PLYWOOD 2FT X 8FT X 3/4IN,83.2
07,100049,MUD SILL 4',10
470,10005,SINGLE RAIL,0.01
07,100050,MUD SILL 6',14
07,100054,PLYWOOD 4FT X 4FT X 3/4IN (E&D),41.6
07,100058,PLYWOOD 4FT X 8FT X 3/4IN (E&D),83.2
470,10006,DOUBLE RAIL FREESTANDING,0.01
07,100062,PLYWOOD 4FT X 8FT X 5/8IN  HDO,60.8
